SiteId,SiteLocation,TravelDirection,Year,Month,AvgSunday,AvgMonday,AvgTuesday,AvgWednesday,AvgThursday,AvgFriday,AvgSaturday,AvgDay,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,VehicleClassificationType
S903,"On SR 090 at milepost 63.98 A: AT CABIN CREEK ROAD UXING - CABIN CREEK                     ",Eastbound,2007,1,8688,9184,7973,7445,8202,12467,8799,8965,,,,
S903,"On SR 090 at milepost 63.98 A: AT CABIN CREEK ROAD UXING - CABIN CREEK                     ",Westbound,2007,1,10283,9955,7679,7087,7562,10052,7841,8637,,,,
S903,"On SR 090 at milepost 63.98 A: AT CABIN CREEK ROAD UXING - CABIN CREEK                     ",Eastbound,2007,2,10527,10640,7912,8657,9469,15073,10517,10399,,,,
S903,"On SR 090 at milepost 63.98 A: AT CABIN CREEK ROAD UXING - CABIN CREEK                     ",Westbound,2007,2,12541,10273,7779,8129,9461,13041,9191,10059,,,,
S903,"On SR 090 at milepost 63.98 A: AT CABIN CREEK ROAD UXING - CABIN CREEK                     ",Eastbound,2007,3,13089,10713,9322,9926,10727,16855,12229,11837,,,,
S903,"On SR 090 at milepost 63.98 A: AT CABIN CREEK ROAD UXING - CABIN CREEK                     ",Westbound,2007,3,15967,10063,9068,9588,10596,14190,11344,11545,,,,
S903,"On SR 090 at milepost 63.98 A: AT CABIN CREEK ROAD UXING - CABIN CREEK                     ",Eastbound,2007,4,15169,11936,10467,11197,13123,21958,14944,14113,,,,
S903,"On SR 090 at milepost 63.98 A: AT CABIN CREEK ROAD UXING - CABIN CREEK                     ",Westbound,2007,4,21631,12081,10005,10640,12114,15956,13269,13671,,,,
S903,"On SR 090 at milepost 63.98 A: AT CABIN CREEK ROAD UXING - CABIN CREEK                     ",Eastbound,2007,5,15022,12748,11063,11528,14387,27448,18652,15835,,,,
S903,"On SR 090 at milepost 63.98 A: AT CABIN CREEK ROAD UXING - CABIN CREEK                     ",Westbound,2007,5,24473,18634,11665,10555,12384,16920,14694,15618,,,,
S903,"On SR 090 at milepost 63.98 A: AT CABIN CREEK ROAD UXING - CABIN CREEK                     ",Eastbound,2007,6,16494,13584,12476,13386,15755,25627,19009,16619,,,,
